Crystals,v_Binding_energy_mean,v_Binding_energy_std,v_Energy_barrier_mean,v_Energy_barrier_std,std,M,UB,LB,CDF
NiPb_mp-569446_primitive_211,0.301688462,0.095795811,0.556932992,0.024860118,0.098969,0.255244529,0.354213529,0.15627553,0.952506623
NiPb_mp-569446_primitive_001,0.341401309,0.090677469,0.59283185,0.024539274,0.093939233,0.251430541,0.345369774,0.157491309,0.957143364
NiPb_mp-569446_primitive_101,0.330244906,0.087017877,0.56941683,0.03210509,0.092751537,0.239171924,0.331923461,0.146420386,0.946114813
NiPb_mp-569446_primitive_110,0.320824021,0.079466882,0.554033634,0.027656357,0.084141901,0.233209613,0.317351514,0.149067712,0.955622425
NiPb_mp-569446_primitive_210,0.334979153,0.085744812,0.567992091,0.025338056,0.089410234,0.233012938,0.322423172,0.143602705,0.945146802
NiPb_mp-569446_primitive_2-12,0.373213327,0.092225272,0.56095285,0.039558102,0.100351105,0.187739523,0.288090628,0.087388418,0.834965661
NiPb_mp-569446_primitive_212,0.392243662,0.071659468,0.566691822,0.019964219,0.074388503,0.174448159,0.248836662,0.100059656,0.871860797
NiPb_mp-569446_primitive_100,0.399814437,0.08413206,0.558099566,0.026163963,0.088106506,0.158285129,0.246391636,0.070178623,0.780838844
NiBi_mp-22861_primitive_102,0.336029719,0.071509521,0.491598512,0.015987778,0.073274966,0.155568793,0.228843759,0.082293828,0.814561583
NiPb_mp-569446_primitive_201,0.38566428,0.044567069,0.537025973,0.021261578,0.049378926,0.151361693,0.20074062,0.101982767,0.893005206
NiPb_mp-569446_primitive_221,0.377979232,0.059016117,0.529219228,0.021853458,0.062932311,0.151239996,0.214172306,0.088307685,0.834750425
NiPb_mp-569446_primitive_102,0.397882213,0.07329548,0.545382184,0.028720004,0.078721445,0.147499971,0.226221416,0.068778526,0.767434234
NiBi_mp-22861_primitive_201,0.353430282,0.075671241,0.483043556,0.027937106,0.080663614,0.129613274,0.210276888,0.048949661,0.688319393
NiBi_mp-22861_primitive_111,0.355045086,0.085960347,0.483514148,0.023754293,0.089182104,0.128469062,0.217651166,0.039286958,0.666894522
NiPb_mp-569446_primitive_111,0.404033056,0.087585893,0.532214601,0.029462748,0.092408561,0.128181545,0.220590107,0.035772984,0.660263328
Ga3Ni2_mp-11397_primitive_211,0.262869385,0.065171602,0.379246837,0.024481733,0.069618194,0.116377452,0.185995646,0.046759258,0.647614234
NiBi_mp-1220533_primitive_1-10,0.368009841,0.064306377,0.473711465,0.013672133,0.065743725,0.105701624,0.171445349,0.039957899,0.594381592
NiBi_mp-22861_primitive_100,0.375264601,0.069995479,0.479694928,0.023733197,0.073909619,0.104430327,0.178339946,0.030520708,0.577398594
NiBi_mp-1220533_primitive_221,0.366269812,0.065748559,0.468132859,0.015171703,0.067476319,0.101863047,0.169339366,0.034386729,0.569778602
AlNi_mp-1487_primitive_110,0.25,0,0.34,0,0,0.09,0.09,0.09,0
NiSb_mp-810_primitive_001,0.36109724,0.077840331,0.450559159,0.021667388,0.080799708,0.089461918,0.170261626,0.00866221,0.497343282
NiBi_mp-1220533_primitive_2-21,0.37927224,0.081602812,0.467779598,0.034184026,0.088473536,0.088507357,0.176980893,3.38213E-05,0.493269738
NiBi_mp-999318_primitive_211,0.380081448,0.053659567,0.465572311,0.022068318,0.05802034,0.085490863,0.143511203,0.027470524,0.469026789
NiBi_mp-1220533_primitive_1-1-1,0.383697505,0.064642724,0.466845989,0.019925063,0.067643846,0.083148484,0.15079233,0.015504638,0.459660885
NiBi_mp-22861_primitive_001,0.380865204,0.050225201,0.4620143,0.022202396,0.054913725,0.081149095,0.13606282,0.02623537,0.435976458
NiBi_mp-999318_primitive_111,0.375519794,0.058582334,0.456582299,0.012879099,0.059981339,0.081062505,0.141043843,0.021081166,0.440775002
NiBi_mp-22861_primitive_212,0.403221583,0.057526989,0.482649694,0.016735814,0.059911951,0.079428111,0.139340062,0.01951616,0.429967426
NiBi_mp-1220533_primitive_2-1-1,0.385448577,0.062031687,0.463997208,0.016737627,0.064250123,0.078548631,0.142798754,0.014298508,0.429270751
NiBi_mp-1220533_primitive_1-12,0.39354029,0.04955076,0.471512996,0.01463242,0.051666097,0.077972706,0.129638802,0.026306609,0.407962662
NiBi_mp-999318_primitive_2-12,0.388037901,0.048786445,0.465399931,0.020168262,0.052790871,0.077362031,0.130152901,0.02457116,0.405398928
AlNi_mp-1487_primitive_221,0.264902648,0.103850831,0.338598031,0.014310408,0.104832165,0.073695382,0.178527547,-0.031136782,0.438201486
NiBi_mp-1220533_primitive_111,0.393079555,0.06860245,0.466706124,0.018056024,0.07093882,0.073626569,0.144565389,0.002687749,0.408730976
NiBi_mp-1220533_primitive_2-11,0.391643766,0.064596321,0.463963771,0.019282762,0.067412978,0.072320005,0.139732984,0.004907027,0.396558973
NiBi_mp-999318_primitive_110,0.38745703,0.079806244,0.459723163,0.017392073,0.081679378,0.072266133,0.153945511,-0.009413245,0.41405913
NiBi_mp-1220533_primitive_212,0.386637756,0.068320411,0.457929084,0.019181432,0.070962003,0.071291327,0.14225333,0.000329325,0.396027309
NiBi_mp-999318_primitive_101,0.38,0,0.45,0,0,0.07,0.07,0.07,0
NiBi_mp-1220533_primitive_001,0.398586433,0.060577283,0.468566395,0.022303082,0.064552573,0.069979963,0.134532535,0.00542739,0.378229001
NiBi_mp-1220533_primitive_102,0.397413623,0.058962717,0.467067423,0.018074752,0.061670889,0.0696538,0.131324689,0.007982911,0.370731798
NiBi_mp-1220533_primitive_2-10,0.397564782,0.04901305,0.4636502,0.019767074,0.052848995,0.066085418,0.118934413,0.013236422,0.325451602
NiBi_mp-22861_primitive_2-12,0.407314794,0.047994878,0.472008337,0.015552078,0.050451714,0.064693543,0.115145258,0.014241829,0.307975319
NiSb_mp-810_primitive_101,0.377914596,0.059493134,0.441927281,0.030309724,0.066769097,0.064012685,0.130781783,-0.002756412,0.348559771
NiBi_mp-999318_primitive_102,0.3921248,0.057983481,0.45553526,0.016676879,0.06033409,0.063410459,0.123744549,0.00307637,0.329713255
NiBi_mp-999318_primitive_221,0.393695365,0.069982019,0.45691482,0.01874086,0.072447931,0.063219455,0.135667386,-0.009228477,0.355820785
NiBi_mp-999318_primitive_210,0.402109759,0.067214819,0.465175994,0.018068677,0.06960107,0.063066235,0.132667305,-0.006534835,0.349387939
NiBi_mp-999318_primitive_212,0.403034239,0.06087236,0.465789293,0.015805435,0.062890826,0.062755054,0.12564588,-0.000135772,0.332431044
NiBi_mp-1220533_primitive_2-12,0.401622143,0.061102435,0.464311299,0.020730352,0.064523291,0.062689155,0.127212446,-0.001834136,0.336048737
NiBi_mp-22861_primitive_110,0.409103999,0.070956693,0.471687423,0.015241283,0.072575127,0.062583424,0.135158551,-0.009991703,0.352801395
NiBi_mp-1220533_primitive_112,0.402665538,0.053798208,0.46343469,0.018323838,0.056833179,0.060769153,0.117602331,0.003935974,0.303511638
NiBi_mp-22861_primitive_211,0.418380065,0.065948311,0.478409976,0.020788633,0.069147285,0.060029911,0.129177195,-0.009117374,0.332353401
NiSb_mp-810_primitive_212,0.371477181,0.066751642,0.43108999,0.013379175,0.068079248,0.059612809,0.127692057,-0.008466439,0.327672124
NiBi_mp-22861_primitive_221,0.405081768,0.050040426,0.463162078,0.021938499,0.054638283,0.05808031,0.112718592,0.003442027,0.279542846
NiBi_mp-1220533_primitive_2-2-1,0.404545943,0.068916252,0.462263408,0.01769753,0.071152318,0.057717465,0.128869783,-0.013434853,0.325018698
NiBi_mp-1220533_primitive_110,0.404654507,0.057196362,0.461920969,0.024724936,0.062311687,0.057266462,0.119578149,-0.005045225,0.299680585
NiBi_mp-22861_primitive_101,0.408467326,0.058263693,0.465132959,0.024479936,0.06319751,0.056665634,0.119863143,-0.006531876,0.298935951
NiSb_mp-810_primitive_210,0.391799068,0.075015295,0.442203256,0.015502185,0.076600341,0.050404188,0.127004529,-0.026196153,0.302607991
GaNi_mp-1941_primitive_110,0.34,0,0.39,0,0,0.05,0.05,0.05,0
Ni3Pb_mp-976830_primitive_111,0.55,0,0.6,0,0,0.05,0.05,0.05,0
AlNi_mp-1487_primitive_100,0.294569248,0.072367072,0.341549103,0.017462903,0.074444248,0.046979855,0.121424103,-0.027464393,0.281671196
NiSb_mp-810_primitive_2-12,0.398761295,0.070821198,0.445435238,0.026339863,0.075560773,0.046673943,0.122234716,-0.02888683,0.283189142
NiBi_mp-1220533_primitive_210,0.41152717,0.051572055,0.458160138,0.018979061,0.05495345,0.046632968,0.101586418,-0.008320482,0.21500942
NiBi3_mp-23179_primitive_011,0.431026775,0.060103558,0.47724964,0.019396703,0.063155917,0.046222866,0.109378782,-0.016933051,0.244104677
NiBi_mp-22861_primitive_210,0.421405227,0.04974696,0.466173574,0.021883155,0.054347332,0.044768347,0.099115679,-0.009578985,0.202628286
NiBi_mp-1220533_primitive_20-1,0.418705282,0.064400065,0.460895734,0.020238242,0.067505221,0.042190452,0.109695673,-0.025314769,0.239399722
NiBi_mp-999318_primitive_001,0.427195129,0.054518818,0.467328422,0.020567228,0.058269309,0.040133293,0.098402602,-0.018136016,0.196055005
NiSb_mp-810_primitive_221,0.383989026,0.065357605,0.423741069,0.018899696,0.068035396,0.039752044,0.10778744,-0.028283352,0.230088297
AlNi_mp-1487_primitive_211,0.31095953,0.066526673,0.348579295,0.014882683,0.068171053,0.037619765,0.105790818,-0.030551288,0.221135256
NiSb_mp-810_primitive_211,0.391989979,0.067923688,0.428875946,0.024384916,0.072168217,0.036885966,0.109054184,-0.035282251,0.23087283
NiBi_mp-999318_primitive_100,0.418646765,0.069204958,0.454286762,0.019891166,0.072006838,0.035639997,0.107646834,-0.036366841,0.225145987
NiBi_mp-1220533_primitive_100,0.423020618,0.043638843,0.455781855,0.017301395,0.046943444,0.032761237,0.079704681,-0.014182207,0.111362661
NiSb_mp-810_primitive_102,0.38,0,0.41,0,0,0.03,0.03,0.03,0
NiBi_mp-1220533_primitive_1-11,0.421657696,0.044661366,0.450373903,0.01765706,0.048025092,0.028716207,0.076741298,-0.019308885,0.100963861
Ni3Sb_mp-672371_primitive_211,0.467425098,0.053008861,0.495802456,0.015651649,0.055271272,0.028377359,0.08364863,-0.026893913,0.132443922
NiBi_mp-999318_primitive_201,0.427364697,0.066180494,0.455540274,0.013385485,0.067520582,0.028175578,0.095696159,-0.039345004,0.17992835
AlNi_mp-1487_primitive_210,0.320477642,0.099085659,0.346354729,0.015981788,0.100366256,0.025877087,0.126243343,-0.07448917,0.26144752
NiSb_mp-810_primitive_111,0.37842157,0.059501618,0.404031889,0.02084181,0.063046202,0.025610319,0.08865652,-0.037435883,0.153553926
AlNi_mp-1487_primitive_111,0.310020664,0.07935731,0.334950402,0.016894642,0.08113576,0.024929738,0.106065498,-0.056206022,0.211278682
